"name","total_pop","total_housing_unit"
"Pine Brook Hill CDP, Colorado",521,312
"Pine Valley CDP, Colorado",526,154
"Pitkin town, Colorado",122,209
"Placerville CDP, Colorado",347,186
"Platteville town, Colorado",2917,1030
"Poncha Springs town, Colorado",867,526
"Ponderosa Park CDP, Colorado",3577,1261
"Portland CDP, Colorado",118,52
"Pritchett town, Colorado",136,64
"Pueblo city, Colorado",111430,48909
"Pueblo West CDP, Colorado",34337,12493
"Ramah town, Colorado",87,57
"Rangely town, Colorado",2382,1036
"Raymer (New Raymer) town, Colorado",94,54
"Red Cliff town, Colorado",292,149
"Red Feather Lakes CDP, Colorado",428,1014
"Redlands CDP, Colorado",8914,3775
"Redstone CDP, Colorado",202,61
"Redvale CDP, Colorado",349,149
"Rico town, Colorado",382,289
"Ridgway town, Colorado",1093,656
"Rifle city, Colorado",10420,3744
"Rock Creek Park CDP, Colorado",141,47
"Rockvale town, Colorado",683,329
"Rocky Ford city, Colorado",3850,1711
"Rollinsville CDP, Colorado",189,121
"Romeo town, Colorado",365,183
"Roxborough Park CDP, Colorado",9057,3362
"Rye town, Colorado",202,130
"Saddle Ridge CDP, Colorado",53,19
"Saguache town, Colorado",535,350
"St. Ann Highlands CDP, Colorado",452,180
"St. Mary's CDP, Colorado",228,238
"Salida city, Colorado",5697,3146
"Salt Creek CDP, Colorado",790,398
"San Acacio CDP, Colorado",57,54
"Sanford town, Colorado",1306,505
"San Luis town, Colorado",603,379
"Sawpit town, Colorado",11,10
"Security-Widefield CDP, Colorado",39150,13701
"Sedalia CDP, Colorado",38,59
"Sedgwick town, Colorado",160,101
"Segundo CDP, Colorado",172,87
"Seibert town, Colorado",140,87
"Seven Hills CDP, Colorado",133,35
"Severance town, Colorado",8526,2918
"Shaw Heights CDP, Colorado",5458,1753
"Sheridan city, Colorado",6062,2507
"Sheridan Lake town, Colorado",56,23
"Sherrelwood CDP, Colorado",19254,6509
"Sierra Ridge CDP, Colorado",2933,1094
"Silt town, Colorado",3529,1155
"Silver Cliff town, Colorado",735,357
"Silver Plume town, Colorado",203,163
"Silverthorne town, Colorado",4550,2954
"Silverton town, Colorado",613,497
"Simla town, Colorado",588,286
"Smeltertown CDP, Colorado",104,35
"Snowmass Village town, Colorado",3076,3122
"Snyder CDP, Colorado",106,69
"Somerset CDP, Colorado",61,41
"Southern Ute CDP, Colorado",136,65
"South Fork town, Colorado",458,644
"Springfield town, Colorado",1357,722
"Starkville town, Colorado",182,101
"Steamboat Springs city, Colorado",13251,10202
"Stepping Stone CDP, Colorado",2766,845
"Sterling city, Colorado",13466,5461
"Sterling Ranch CDP, Colorado",1900,666
"Stonegate CDP, Colorado",9770,3406
"Stonewall Gap CDP, Colorado",95,166
"Strasburg CDP, Colorado",3149,1060
